age,experience,education,job_level,department,job_role,performance_rating,projects_completed,certifications,weekly_hours,overtime_hours,team_size,leadership_score,skill_match,years_in_role,promotion_count,employment_type,location_type,company_size,job_satisfaction,salary
50,24,Masters,Mid,IT,Analyst,4,8,5,47,6,13,5.993978500838104,1.3940196962735911,6,3,Full-time,Rural,Small,5,106390.80213636642
36,23,Masters,Mid,HR,Engineer,4,1,4,36,17,12,6.626758426001158,8.686868744117596,3,4,Part-time,Urban,Medium,1,116050.00091894229
51,24,PhD,Junior,Finance,Manager,2,13,9,44,9,3,4.851663875527888,4.251013691133304,6,2,Full-time,Semi-Urban,Large,3,90425.88030488786
40,12,Masters,Senior,Sales,Clerk,4,7,9,58,6,13,5.944319492078466,4.63232500691173,2,0,Full-time,Semi-Urban,Large,5,95098.10950037256
39,1,Masters,Mid,Sales,Clerk,3,6,3,30,14,8,2.3329228564102387,5.597170662475909,9,1,Part-time,Rural,Medium,3,69322.52765138133
28,5,Masters,Mid,IT,Engineer,3,5,8,45,19,10,7.029439351299151,4.549756334607835,9,4,Contract,Urban,Medium,5,59435.14695282855
53,16,Bachelors,Mid,Finance,Analyst,1,18,1,45,5,11,9.218042514730456,1.801527644582738,7,3,Full-time,Urban,Small,2,68236.87568822975
25,29,Masters,Mid,Sales,Manager,1,17,5,54,4,11,3.4691934196184824,9.702490885388736,6,3,Full-time,Urban,Large,5,104108.18248208496
38,18,Bachelors,Mid,HR,Manager,3,10,9,53,10,1,4.823088700441424,7.981917949857207,1,0,Part-time,Semi-Urban,Large,4,94901.39024027008
26,9,Masters,Mid,IT,Manager,4,17,0,34,2,3,5.150369607811654,7.926978205231026,2,2,Contract,Urban,Large,4,82637.7434540889
21,21,Bachelors,Junior,Finance,Engineer,3,9,6,58,7,12,1.5899891706854052,5.713641799347798,9,3,Full-time,Urban,Large,2,93665.35932990276
27,8,PhD,Senior,Finance,Manager,3,19,8,41,11,13,3.415747497371643,2.9029966122908486,1,1,Contract,Rural,Large,1,52745.34343212066
46,26,Masters,Mid,Finance,Manager,1,11,9,32,4,14,3.0904749502782325,3.923591202096988,8,0,Contract,Urban,Medium,3,107683.78439279462
41,5,Bachelors,Mid,Sales,Manager,4,19,9,36,11,8,3.236978726577854,8.678019902321992,4,0,Contract,Rural,Large,2,68355.60260936424
38,4,Bachelors,Senior,Finance,Engineer,4,16,5,41,4,2,4.226537789473314,5.213150149244818,3,1,Full-time,Semi-Urban,Large,1,60926.31796856709
27,21,PhD,Junior,IT,Clerk,3,12,7,59,10,9,1.1035325316305729,2.2476336044441,8,1,Part-time,Rural,Medium,1,87762.69285696349
29,13,PhD,Senior,Sales,Analyst,1,18,8,52,10,5,9.06450876247052,3.738848376730556,2,1,Full-time,Urban,Medium,4,71321.12681454718
23,10,Bachelors,Senior,Finance,Clerk,1,14,0,51,5,9,2.7461856897207824,4.33380637454172,0,0,Contract,Rural,Small,3,58872.75333917084
28,27,PhD,Junior,Sales,Clerk,2,15,9,51,15,13,7.783013448429921,9.25554906329948,1,3,Contract,Urban,Medium,4,124769.67232438928
42,7,PhD,Senior,IT,Analyst,4,9,2,37,18,3,5.565417314889697,8.836824487279667,7,3,Full-time,Rural,Large,1,87770.60669962529
31,18,Bachelors,Junior,Sales,Manager,1,19,5,38,15,13,3.776204562260341,5.791128766974654,8,2,Full-time,Rural,Large,1,75057.55908262992
42,20,Masters,Mid,Sales,Clerk,2,8,0,49,9,5,3.423082988507176,7.255237163452805,6,0,Part-time,Semi-Urban,Large,5,103827.36758465054
29,19,PhD,Senior,Sales,Manager,4,14,3,41,19,2,1.2736903989984507,7.978379513160469,3,3,Full-time,Urban,Small,3,82419.74581479101
41,21,PhD,Mid,HR,Analyst,4,6,6,30,19,7,7.981610536148205,6.579058557946152,3,4,Part-time,Rural,Large,5,113084.4808056836
40,18,Masters,Junior,HR,Clerk,4,13,3,43,11,6,8.988697027822074,8.6942906427106,1,1,Full-time,Urban,Large,2,115097.8457990748
35,11,Bachelors,Mid,Finance,Manager,5,18,7,40,13,5,9.058329828104036,1.0409260626706118,8,1,Full-time,Urban,Medium,1,75766.44110330877
50,26,Bachelors,Junior,Sales,Clerk,2,10,5,44,16,7,9.283452357272592,8.345527235194423,4,2,Part-time,Semi-Urban,Medium,2,114413.0850395059
24,0,Bachelors,Senior,Finance,Engineer,5,3,3,56,15,13,6.810242436549538,4.927811725222925,7,1,Part-time,Semi-Urban,Small,2,52284.61650681705
45,14,Masters,Mid,Finance,Clerk,3,4,8,58,19,12,7.035704694162722,2.7556367406467217,2,3,Full-time,Rural,Medium,2,85449.46878293878
32,18,Masters,Junior,Sales,Manager,4,13,6,55,11,7,8.96790621786942,3.89181022835381,9,4,Full-time,Urban,Medium,5,102194.078491894
52,27,Bachelors,Mid,HR,Analyst,2,14,6,31,1,13,8.348200214543498,1.8725505523964825,0,3,Full-time,Urban,Small,5,110337.26087741928
26,25,Masters,Junior,HR,Manager,2,2,4,54,5,7,2.361405792156997,3.741892835115072,6,2,Full-time,Rural,Small,4,83386.67719429509
31,15,Bachelors,Mid,Finance,Manager,2,3,9,44,1,1,8.98588698739885,2.728707274871692,5,2,Contract,Rural,Large,2,77414.33571724489
25,8,PhD,Senior,Sales,Clerk,2,5,2,37,7,9,7.88642111043439,2.691148387932084,5,3,Contract,Semi-Urban,Small,1,62746.799175952896
51,18,Bachelors,Senior,IT,Engineer,1,19,7,41,16,1,5.758167376614865,8.479403027953254,4,4,Part-time,Urban,Medium,2,93756.45101015878
37,4,PhD,Mid,Sales,Engineer,1,4,9,59,14,1,1.17312463597134,2.3380096818952483,3,0,Contract,Urban,Medium,4,37920.73625424564
25,25,Masters,Junior,Finance,Clerk,1,7,4,35,3,9,6.681479890511971,3.824218862402605,8,1,Full-time,Urban,Large,2,103581.5425253951
26,19,PhD,Mid,Sales,Clerk,1,15,7,33,12,5,5.0288113103654775,3.4954734948139627,3,2,Full-time,Rural,Medium,4,70968.37950414223
35,20,Bachelors,Junior,IT,Analyst,1,7,3,32,16,6,5.616557547678283,4.725041251945739,2,0,Part-time,Rural,Small,2,84783.60705001318
51,0,PhD,Senior,HR,Engineer,3,15,8,34,15,5,1.542859777041062,7.557456293544651,8,0,Contract,Semi-Urban,Small,4,46575.80732929464
54,5,PhD,Senior,IT,Engineer,2,12,0,35,7,1,5.138956688731695,2.678842462079346,3,3,Full-time,Semi-Urban,Large,4,44976.56764322691
29,6,PhD,Mid,Sales,Engineer,4,7,9,57,18,13,1.560751567636633,4.618225151683329,2,3,Part-time,Rural,Small,1,80215.62174965662
52,5,Masters,Mid,Finance,Analyst,2,4,7,46,6,1,3.950222875179527,4.750922255096979,3,2,Contract,Rural,Large,4,50233.3295812959
53,17,Masters,Mid,Finance,Analyst,3,16,4,32,3,12,8.837702110307493,5.835609459949573,6,2,Part-time,Rural,Small,2,91829.433462247
43,21,Masters,Mid,Finance,Analyst,2,14,8,57,4,4,1.9348788802766252,8.091501910368207,4,1,Full-time,Rural,Large,1,90067.68117271847
50,7,Masters,Senior,Sales,Clerk,5,12,2,33,8,8,6.750607539781325,1.2914994415715926,8,1,Part-time,Rural,Medium,1,82611.40686966723
31,12,Bachelors,Junior,HR,Engineer,4,13,8,54,14,8,1.2336149384339634,3.9530102544188974,2,4,Contract,Urban,Medium,5,62649.22724373664
23,15,PhD,Junior,HR,Clerk,2,14,3,48,12,13,1.6731297647443593,7.058181882367158,3,2,Part-time,Semi-Urban,Medium,5,86989.94802358495
43,13,PhD,Mid,Finance,Analyst,5,5,8,42,5,2,2.6083409342561805,8.566991116392508,6,1,Contract,Semi-Urban,Large,1,98680.73027392718
34,1,Bachelors,Junior,Finance,Manager,4,14,4,54,13,6,6.216469583980986,9.757815532868,0,2,Contract,Semi-Urban,Small,2,81686.8482234226
22,21,Bachelors,Mid,Sales,Analyst,3,2,3,50,11,5,9.654738093040368,3.929921663481867,8,4,Contract,Urban,Medium,3,92730.6440892186
35,23,Bachelors,Senior,IT,Analyst,4,9,1,50,4,1,9.26427920825376,5.668995103606127,8,2,Part-time,Rural,Small,3,123767.07333258112
32,10,Masters,Mid,IT,Manager,5,19,1,59,7,9,7.411196270626713,5.739356100897872,6,4,Part-time,Urban,Large,3,79724.42359170417
47,0,Masters,Junior,HR,Analyst,2,13,1,34,6,4,2.5586467116184117,4.489785638116498,7,2,Contract,Semi-Urban,Medium,2,63339.38947735821
23,3,Bachelors,Junior,IT,Engineer,5,12,5,35,8,5,6.558703533390786,7.6527237983151215,8,0,Full-time,Semi-Urban,Large,5,64224.97209136893
30,10,PhD,Senior,IT,Manager,2,2,9,33,13,5,2.1172291668897403,9.877912736754393,7,2,Full-time,Rural,Large,4,75140.72445099501
58,27,Bachelors,Mid,Finance,Manager,1,11,7,31,16,6,4.012796694804307,2.845185329484919,4,1,Contract,Urban,Large,5,88511.01909018622
56,16,Bachelors,Mid,HR,Manager,5,8,3,40,3,4,4.266143965127951,9.15685726509173,5,2,Part-time,Rural,Large,2,99380.37268323803
48,12,Bachelors,Junior,Finance,Engineer,4,19,6,33,3,9,8.505803364760865,4.747241355914609,8,0,Part-time,Urban,Large,4,78879.4929918584
40,26,Bachelors,Junior,Sales,Clerk,4,2,7,33,7,11,9.418315266775217,8.976063231373987,5,3,Part-time,Rural,Medium,2,109469.591144424
33,6,PhD,Junior,Finance,Clerk,3,13,6,50,14,2,8.213535963687224,3.9495907230393055,5,4,Part-time,Semi-Urban,Large,5,57367.0448313344
42,13,PhD,Junior,Sales,Engineer,2,4,9,53,15,14,7.477351706677641,1.469762267508517,0,3,Contract,Urban,Large,4,79701.06642768785
49,16,Masters,Junior,Sales,Clerk,1,18,8,30,11,13,1.0745572714106404,1.092739054567303,5,4,Part-time,Urban,Large,4,72843.84413689139
38,5,PhD,Senior,Sales,Engineer,4,6,5,41,11,14,7.4647738186941535,2.1199161175674,1,4,Contract,Semi-Urban,Large,4,78902.67315977503
32,8,Masters,Senior,HR,Engineer,4,10,1,40,15,8,9.424122676259868,8.7204230118844,8,1,Full-time,Urban,Small,5,85147.63029052115
47,28,PhD,Senior,Sales,Manager,3,18,9,31,0,12,9.080996856947714,9.766880565291412,5,0,Contract,Semi-Urban,Small,4,108156.2535352974
26,13,Bachelors,Mid,Finance,Clerk,5,9,9,57,16,8,6.281671553014926,1.9063722393276668,9,0,Part-time,Semi-Urban,Small,3,94964.31824020811
36,13,Bachelors,Junior,IT,Analyst,3,6,5,48,0,9,8.83710070284102,5.503207173323813,3,4,Contract,Rural,Large,5,74063.9493108296
54,2,PhD,Senior,HR,Manager,1,2,1,57,2,8,8.286027594779954,6.527359113183037,7,1,Contract,Rural,Small,4,68564.8585305996
47,22,Masters,Junior,Finance,Manager,5,14,3,45,14,7,1.252432771393297,7.914027754774425,4,0,Part-time,Semi-Urban,Small,4,106553.2660771226
53,25,PhD,Senior,Sales,Analyst,5,6,1,57,6,9,2.044429713614971,7.951111375094567,4,4,Full-time,Semi-Urban,Small,4,106011.76336372845
25,1,Bachelors,Mid,Finance,Manager,4,19,1,46,6,12,9.95287013469543,5.764354891070942,6,3,Contract,Rural,Large,5,80431.09600398057
32,20,Bachelors,Junior,Sales,Manager,2,3,3,35,1,4,2.348000568270605,2.4183364612718377,6,0,Full-time,Rural,Small,3,72887.0043217968
29,28,Masters,Senior,HR,Manager,5,19,5,32,3,1,2.527042486027586,8.320361411109563,4,2,Part-time,Rural,Medium,2,114971.47617935906
37,21,Masters,Junior,Finance,Clerk,4,4,0,42,1,12,6.122859377379108,9.883976075704265,7,2,Full-time,Urban,Medium,1,104452.63066822424
24,15,Bachelors,Junior,Sales,Clerk,4,7,9,32,7,3,3.246641861898777,7.660470651188439,4,4,Full-time,Semi-Urban,Medium,5,97850.2066433249
23,9,PhD,Mid,HR,Manager,3,17,6,54,16,5,2.777141580873204,1.858099201731492,7,2,Part-time,Urban,Small,3,61587.860622951
55,15,Bachelors,Junior,HR,Manager,2,5,0,42,5,3,2.6229327842634067,7.248853477988471,6,3,Contract,Urban,Large,4,89739.55695784956
40,4,PhD,Junior,Finance,Engineer,4,7,7,49,11,8,8.525436057569552,2.369503567550398,3,2,Contract,Urban,Medium,2,63169.840338630034
27,0,PhD,Mid,Finance,Analyst,2,12,9,52,4,12,7.419959911464092,5.116441787293962,4,4,Full-time,Urban,Small,5,67639.69005621684
41,22,Bachelors,Mid,Finance,Manager,2,16,4,57,8,3,6.211363011556953,6.145073515171452,8,3,Contract,Rural,Medium,1,108598.4512297627
42,22,Masters,Mid,IT,Engineer,4,19,6,34,3,5,9.239626273656516,8.876354884633678,4,3,Full-time,Rural,Small,1,103205.25213521691
30,6,PhD,Senior,Sales,Analyst,2,18,4,39,15,7,5.918653766916689,8.136402646733902,4,0,Full-time,Urban,Large,3,81734.33694299738
37,5,Bachelors,Junior,HR,Clerk,1,12,3,45,9,10,2.0671967828605142,1.7588890922112674,8,3,Part-time,Rural,Medium,4,54763.86369351404
25,4,Masters,Junior,Sales,Clerk,4,16,1,58,7,6,9.116349258585648,8.807959265440847,0,0,Full-time,Urban,Large,5,70959.90037711467
41,21,Masters,Junior,Finance,Analyst,1,5,4,43,8,11,2.2880705526131,4.049582887674939,6,1,Full-time,Semi-Urban,Large,5,89951.57001782302
45,27,Masters,Mid,Sales,Clerk,3,18,1,40,4,11,5.5243929126596605,6.466675203854967,7,4,Part-time,Urban,Small,2,124511.40315728562
29,8,Masters,Senior,HR,Clerk,3,9,4,33,12,13,8.445968177652919,7.400105133450507,0,3,Full-time,Urban,Large,1,80866.09433779353
22,12,PhD,Mid,HR,Engineer,5,6,6,59,7,6,2.4777684814634573,9.369625381917276,3,3,Full-time,Semi-Urban,Large,4,76980.3189397642
52,7,Masters,Senior,Sales,Analyst,1,14,6,42,5,3,3.62388709788122,2.663091035344223,6,0,Full-time,Urban,Medium,1,44807.59634029429
59,24,Bachelors,Mid,Sales,Analyst,1,6,6,52,3,8,9.253164038518458,7.029726573283458,6,3,Full-time,Semi-Urban,Medium,2,102984.8359264586
31,4,Bachelors,Senior,Finance,Manager,5,16,2,35,6,11,5.411095982287609,1.987010235947648,9,3,Full-time,Rural,Large,2,67805.50826542478
28,14,Masters,Senior,Sales,Manager,4,18,1,54,0,10,3.097397829370202,6.207734011463215,4,0,Part-time,Urban,Large,2,89627.67864312607
54,12,Masters,Senior,Sales,Engineer,1,7,5,43,19,9,1.446831834523069,2.483083500196047,9,2,Contract,Rural,Medium,4,53808.532034758326
46,19,Bachelors,Mid,HR,Manager,2,16,6,46,2,9,8.242085182360473,7.332846078539994,0,4,Part-time,Rural,Large,2,83245.50047660846
21,9,PhD,Junior,HR,Analyst,4,15,4,46,1,11,3.155202025743142,5.521065590650572,2,0,Full-time,Semi-Urban,Medium,2,78572.48073452382
42,5,Masters,Junior,IT,Engineer,5,11,7,47,16,8,4.093475717547946,3.009282446883145,8,0,Contract,Urban,Medium,2,53659.61465380772
26,19,Bachelors,Mid,Finance,Engineer,2,15,8,39,5,8,5.505353203926904,6.541387225446655,7,2,Part-time,Urban,Medium,5,79962.0178744629
34,18,Masters,Junior,HR,Manager,3,1,5,59,4,10,1.342342447238813,2.8210662398585185,7,3,Part-time,Semi-Urban,Small,4,74908.62193506904
59,14,Masters,Junior,Sales,Clerk,3,6,5,59,4,14,1.781707408763395,6.126451761506866,1,4,Full-time,Rural,Large,3,86313.44952257164
48,9,Bachelors,Junior,HR,Analyst,5,2,5,46,10,11,5.392838668432012,4.197029314656346,0,4,Part-time,Urban,Medium,5,88051.27384601963
32,27,PhD,Senior,Sales,Analyst,1,8,4,55,0,13,5.01342244934509,4.636595125810803,8,0,Part-time,Rural,Medium,1,110410.33660031806
50,10,PhD,Junior,Finance,Manager,2,4,8,57,13,3,5.918406837091899,9.314301532787644,4,3,Part-time,Rural,Small,4,90100.56867643708
39,21,Bachelors,Senior,Sales,Manager,4,13,8,32,9,2,1.6779208523485984,1.2673255147925793,8,0,Full-time,Rural,Large,1,103854.71147009968
29,13,PhD,Junior,HR,Analyst,3,10,0,37,7,3,2.0830034301853484,7.297035149585239,8,4,Contract,Semi-Urban,Large,1,90867.44560968762
51,28,Masters,Senior,Finance,Clerk,1,17,5,46,3,3,9.23634254895903,6.957881220343067,2,1,Full-time,Rural,Small,4,99057.80001337072
25,18,Masters,Senior,IT,Analyst,5,1,9,55,14,13,7.518521609247143,4.6835579661785385,2,0,Full-time,Rural,Large,1,94715.7911686614
26,29,Masters,Junior,IT,Analyst,1,10,1,33,0,14,6.576695143881305,4.702585370277223,9,1,Contract,Urban,Small,5,115291.797588214
34,5,PhD,Mid,Sales,Manager,4,18,3,36,12,11,9.922401909790056,7.346280666833797,3,1,Full-time,Urban,Large,4,62708.938709990616
28,21,Masters,Mid,IT,Manager,4,12,6,58,6,8,9.631163688880084,1.3591226187347525,3,2,Full-time,Rural,Large,5,111467.1108313618
57,4,Masters,Senior,Finance,Engineer,1,18,6,50,11,7,5.981129070705709,2.1325822514850223,3,3,Contract,Semi-Urban,Medium,4,68909.22777248773
39,16,Bachelors,Junior,IT,Clerk,4,10,5,52,11,4,5.77170756776649,6.371175319401849,4,4,Part-time,Semi-Urban,Small,4,98155.11795104873
52,1,Masters,Mid,Sales,Clerk,2,15,8,47,7,1,7.68119999716446,8.016237116161655,4,1,Full-time,Semi-Urban,Large,4,51450.684536558445
31,21,Bachelors,Mid,HR,Engineer,1,6,9,51,1,7,6.29730003299567,7.168184348219785,9,2,Full-time,Rural,Large,3,93604.1212508594
54,2,Bachelors,Mid,HR,Analyst,3,17,6,43,19,3,9.693154030969016,8.857797452681263,6,3,Contract,Rural,Medium,3,53645.51097418653
50,17,Masters,Senior,IT,Analyst,5,6,4,44,1,8,2.492211740720196,3.157928017813826,9,0,Part-time,Rural,Large,5,75468.7253620968
27,0,PhD,Mid,Sales,Clerk,3,19,8,37,7,11,7.735578480721726,5.23277143172452,5,0,Full-time,Urban,Small,1,59655.90419879115
24,17,Masters,Junior,HR,Clerk,4,3,1,41,7,11,9.890037469468396,3.5146395633503618,0,4,Contract,Rural,Large,2,97656.60494548884
36,4,Masters,Junior,Finance,Engineer,4,8,4,33,16,11,8.146764542366142,6.761617403218065,0,1,Part-time,Urban,Medium,5,83030.70542622783
34,12,PhD,Senior,HR,Analyst,1,16,6,46,1,9,3.6236238147797137,4.419688698107545,3,2,Contract,Urban,Small,3,71162.25025250876
45,1,PhD,Senior,Finance,Engineer,5,10,3,49,16,1,7.150431781234471,9.573933813795884,5,1,Full-time,Urban,Large,1,70886.15235778953
59,24,Bachelors,Mid,Sales,Analyst,1,6,6,52,3,8,9.253164038518458,7.029726573283458,6,3,Full-time,Semi-Urban,Medium,2,102984.8359264586
34,1,Masters,Senior,IT,Clerk,4,6,3,47,5,9,6.322343914184859,9.590883654723047,5,1,Part-time,Urban,Small,2,51899.40429985251
45,19,Bachelors,Mid,Sales,Manager,2,15,0,32,12,3,8.49413934737973,2.454671193670884,2,4,Part-time,Urban,Medium,3,104949.7447797848
38,18,Bachelors,Mid,HR,Manager,3,10,9,53,10,1,4.823088700441424,7.981917949857207,1,0,Part-time,Semi-Urban,Large,4,94901.39024027008
25,18,PhD,Junior,Finance,Analyst,1,14,0,57,4,8,4.146377090922567,5.233688608852442,3,3,Part-time,Urban,Small,2,84367.8034215455
45,1,PhD,Senior,Finance,Engineer,5,10,3,49,16,1,7.150431781234471,9.573933813795884,5,1,Full-time,Urban,Large,1,70886.15235778953
43,9,Bachelors,Junior,Sales,Engineer,2,14,9,30,1,14,3.955506544977773,5.8798512631721005,9,3,Part-time,Urban,Small,4,84420.32806078429
51,18,Bachelors,Senior,IT,Engineer,1,19,7,41,16,1,5.758167376614865,8.479403027953254,4,4,Part-time,Urban,Medium,2,93756.45101015878
42,21,Bachelors,Senior,HR,Engineer,4,17,9,44,5,13,4.696668626971787,9.1229689639091,3,1,Full-time,Rural,Small,1,92637.23138366271
36,27,Bachelors,Junior,Finance,Manager,4,6,6,52,19,4,2.5470818840445166,3.9109037448220185,6,1,Part-time,Urban,Medium,5,107000.16637783092
41,6,Bachelors,Senior,Sales,Manager,2,8,2,46,7,9,4.69555786246583,8.096600553102732,5,4,Part-time,Rural,Medium,3,73916.47852618911
37,29,PhD,Mid,Finance,Analyst,2,9,6,36,2,13,8.140049058126193,2.7847582788533574,9,4,Part-time,Semi-Urban,Small,5,100995.75899275024
26,1,Bachelors,Senior,IT,Clerk,3,8,9,36,12,3,2.6231049546220904,1.5013000030617865,2,2,Part-time,Urban,Small,3,53037.66495829624
55,15,Bachelors,Junior,HR,Manager,2,5,0,42,5,3,2.6229327842634067,7.248853477988471,6,3,Contract,Urban,Large,4,89739.55695784956
31,21,Bachelors,Mid,HR,Engineer,1,6,9,51,1,7,6.29730003299567,7.168184348219785,9,2,Full-time,Rural,Large,3,93604.1212508594
27,8,PhD,Senior,Finance,Manager,3,19,8,41,11,13,3.415747497371643,2.9029966122908486,1,1,Contract,Rural,Large,1,52745.34343212066
42,5,Masters,Junior,IT,Engineer,5,11,7,47,16,8,4.093475717547946,3.009282446883145,8,0,Contract,Urban,Medium,2,53659.61465380772
52,8,Bachelors,Senior,Sales,Analyst,3,8,7,35,18,11,3.9711580100495656,3.870881983298765,7,1,Part-time,Urban,Medium,4,75173.21639000808
50,4,PhD,Senior,IT,Analyst,3,18,2,52,16,6,1.819101052023156,6.629823813162568,9,4,Part-time,Urban,Medium,5,59604.88962781824
32,20,Bachelors,Junior,Sales,Manager,2,3,3,35,1,4,2.348000568270605,2.4183364612718377,6,0,Full-time,Rural,Small,3,72887.0043217968
30,10,PhD,Senior,IT,Manager,2,2,9,33,13,5,2.1172291668897403,9.877912736754393,7,2,Full-time,Rural,Large,4,75140.72445099501
30,24,PhD,Mid,Sales,Manager,5,14,4,54,8,14,2.9403848499339222,7.5583677499964015,3,4,Contract,Urban,Small,1,96799.4261499296
46,6,Masters,Senior,IT,Analyst,5,11,9,45,8,6,6.172612048406189,3.04719048712738,5,0,Full-time,Rural,Large,4,81211.24063295904
57,24,Masters,Mid,HR,Engineer,2,7,2,31,10,12,7.548238492279203,4.775470608578623,1,2,Full-time,Urban,Medium,1,91726.80322257357
25,29,Masters,Mid,Sales,Manager,1,17,5,54,4,11,3.4691934196184824,9.702490885388736,6,3,Full-time,Urban,Large,5,104108.18248208496
59,24,Bachelors,Mid,Sales,Analyst,1,6,6,52,3,8,9.253164038518458,7.029726573283458,6,3,Full-time,Semi-Urban,Medium,2,102984.8359264586
26,9,Masters,Mid,IT,Manager,4,17,0,34,2,3,5.150369607811654,7.926978205231026,2,2,Contract,Urban,Large,4,82637.7434540889
41,22,Bachelors,Senior,Finance,Manager,2,7,3,40,15,12,8.602502805039956,8.123280107645241,0,3,Part-time,Urban,Large,4,118037.43893421424
45,26,PhD,Junior,Sales,Analyst,3,3,4,52,7,7,5.161135601696814,3.691446441905224,5,0,Contract,Semi-Urban,Medium,5,94991.87133198309
29,22,Masters,Mid,Sales,Clerk,5,11,1,57,8,6,1.9368993818432816,8.529514660958153,1,2,Full-time,Rural,Medium,3,97633.31697499308
38,5,PhD,Senior,Sales,Engineer,4,6,5,41,11,14,7.4647738186941535,2.1199161175674,1,4,Contract,Semi-Urban,Large,4,78902.67315977503
37,29,PhD,Mid,Finance,Analyst,2,9,6,36,2,13,8.140049058126193,2.7847582788533574,9,4,Part-time,Semi-Urban,Small,5,100995.75899275024
32,14,PhD,Mid,Sales,Analyst,2,9,1,41,15,2,6.136263390594982,7.159643285871355,7,2,Full-time,Rural,Medium,1,97572.8353336406
25,18,PhD,Junior,Finance,Analyst,1,14,0,57,4,8,4.146377090922567,5.233688608852442,3,3,Part-time,Urban,Small,2,84367.8034215455
28,4,Masters,Junior,IT,Engineer,1,17,0,52,1,10,3.8429364200791887,6.406888804700728,5,2,Contract,Urban,Small,1,64479.20298572006
54,12,Masters,Senior,Sales,Engineer,1,7,5,43,19,9,1.446831834523069,2.483083500196047,9,2,Contract,Rural,Medium,4,53808.532034758326
42,2,Bachelors,Mid,Sales,Manager,4,12,7,33,1,12,7.437125137975019,4.910552616243548,4,4,Contract,Rural,Medium,4,49532.78827746728
41,18,Bachelors,Mid,HR,Analyst,3,10,7,40,17,7,4.072910867986192,5.946919771745527,8,0,Contract,Rural,Small,2,94737.21459408084
42,13,PhD,Junior,Sales,Engineer,2,4,9,53,15,14,7.477351706677641,1.469762267508517,0,3,Contract,Urban,Large,4,79701.06642768785
25,4,Masters,Junior,Sales,Clerk,4,16,1,58,7,6,9.116349258585648,8.807959265440847,0,0,Full-time,Urban,Large,5,70959.90037711467
25,1,PhD,Mid,IT,Clerk,3,16,3,31,16,5,6.197173297568043,1.946247020390142,7,4,Full-time,Rural,Large,2,52068.66972203621
46,25,Bachelors,Mid,IT,Engineer,2,4,8,42,7,10,6.477867853472006,3.394342813921736,2,4,Part-time,Urban,Large,2,92125.07923017807
37,5,Bachelors,Junior,HR,Clerk,1,12,3,45,9,10,2.0671967828605142,1.7588890922112674,8,3,Part-time,Rural,Medium,4,54763.86369351404
